Date,Time,InstID,Kama,ER,High,Low
20240722,23:10:00,cu2408,76240.000000,0.000000,76240.000000,76240.000000,
20240722,23:11:00,cu2408,76250.000000,0.000000,76250.000000,76240.000000,
20240722,23:12:00,cu2408,76240.000000,0.000000,76250.000000,76240.000000,
20240722,23:13:00,cu2408,76230.000000,0.000000,76250.000000,76230.000000,
20240722,23:14:00,cu2408,76210.000000,0.000000,76250.000000,76210.000000,
20240722,23:15:00,cu2408,76210.000000,0.000000,76250.000000,76210.000000,
20240722,23:16:00,cu2408,76200.000000,0.000000,76250.000000,76200.000000,
20240722,23:17:00,cu2408,76200.000000,0.000000,76250.000000,76200.000000,
20240722,23:18:00,cu2408,76210.000000,0.000000,76210.000000,76200.000000,
20240722,23:19:00,cu2408,76220.000000,0.000000,76220.000000,76200.000000,
20240722,23:20:00,cu2408,76220.083247,0.000000,76220.083247,76200.000000,
20240722,23:21:00,cu2408,76220.422450,0.200000,76220.422450,76200.000000,
20240722,23:22:00,cu2408,76221.498311,0.166667,76221.498311,76200.000000,
20240722,23:23:00,cu2408,76223.512779,0.272727,76223.512779,76200.000000,
20240722,23:24:00,cu2408,76223.469626,0.076923,76223.512779,76223.469626,
20240722,23:25:00,cu2408,76223.617614,0.142857,76223.617614,76223.469626,
20240722,23:26:00,cu2408,76223.468452,0.066667,76223.617614,76223.468452,
20240722,23:27:00,cu2408,76223.370769,0.000000,76223.617614,76223.370769,
20240722,23:28:00,cu2408,76223.114775,0.066667,76223.617614,76223.114775,
